,COUNTYFIPS,Obesity among adults aged >=18 years,Stroke among adults aged >=18 years,Arthritis among adults aged >=18 years,Mammography use among women aged 50-74 years,Depression among adults aged >=18 years,Vision disability among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Visits to dentist or dental clinic among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Current smoking among adults aged >=18 years,Mobility disability among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Self-care disability among adults aged >=18 years,Cholesterol screening among adults aged >=18 years,Any disability among adults aged >=18 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",All teeth lost among adults aged >=65 years,No leisure-time physical activity among adults aged >=18 years,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Sleeping less than 7 hours among adults aged >=18 years,Independent living disability among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,Cancer (excluding skin cancer) among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,High blood pressure among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Binge drinking among adults aged >=18 years,Fair or poor self-rated health status among adults aged >=18 years,Current asthma among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Cognitive disability among adults ages >=18 years,Hearing disability among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Physical health not good for >=14 days among adults aged >=18 years,Coronary heart disease among adults aged >=18 years
553,13089,33.40208333333333,2.957638888888889,19.03402777777778,79.88402777777779,18.006944444444443,5.826388888888889,4.829166666666667,60.68958333333333,33.888194444444444,14.442361111111113,12.228472222222223,73.91666666666667,4.071527777777778,85.24722222222222,25.59722222222222,71.85555555555555,15.029166666666665,23.00486111111111,37.07847222222222,39.90138888888889,8.077083333333333,15.943749999999998,5.052777777777778,2.847916666666667,33.45763888888889,15.850694444444445,84.06666666666666,14.79513888888889,16.21388888888889,10.286111111111111,73.76388888888889,13.770833333333334,4.220833333333333,11.114583333333334,46.53472222222222,10.42013888888889,4.205555555555555
554,13121,31.384158415841583,3.102475247524753,19.964356435643566,80.51435643564358,18.0980198019802,6.1138613861386135,5.235148514851486,57.72475247524752,29.13069306930693,15.439108910891088,13.116831683168318,73.3158415841584,4.351980198019802,85.7410891089109,26.857920792079213,70.24158415841583,16.87029702970297,24.223762376237627,39.1636815920398,36.6940594059406,8.420792079207922,14.464851485148513,4.9950495049504955,2.9519801980198017,33.62326732673267,15.733663366336632,84.07871287128714,16.41237623762376,17.369306930693067,10.242574257425742,73.80247524752475,13.835643564356435,4.271782178217822,11.339603960396039,49.66633663366337,10.638118811881188,4.48960396039604
555,13081,42.93333333333334,4.716666666666667,31.233333333333334,75.88333333333333,22.75,9.233333333333333,10.316666666666666,47.900000000000006,39.266666666666666,23.46666666666667,21.900000000000002,79.56666666666668,7.050000000000001,84.25,40.23333333333334,66.2,25.883333333333336,34.5,36.21666666666667,39.416666666666664,12.766666666666667,19.55,6.75,4.1000000000000005,44.833333333333336,19.183333333333334,79.03333333333332,12.783333333333331,25.833333333333332,11.65,78.63333333333334,19.166666666666668,7.849999999999999,16.7,38.666666666666664,16.55,8.016666666666666
556,13085,33.0,2.8000000000000003,25.933333333333334,75.26666666666667,22.033333333333335,3.9999999999999996,6.566666666666666,62.13333333333333,37.63333333333333,15.333333333333334,12.366666666666667,77.03333333333335,3.1,87.26666666666667,27.63333333333333,72.23333333333333,13.033333333333333,21.96666666666667,44.43333333333334,31.700000000000003,6.666666666666667,12.433333333333332,6.933333333333334,2.8333333333333335,34.199999999999996,15.233333333333334,82.30000000000001,17.466666666666665,14.566666666666668,9.533333333333333,75.56666666666666,12.533333333333333,6.2,9.866666666666667,52.0,11.233333333333334,5.6000000000000005
557,13115,38.64,3.725,28.304999999999996,74.99499999999998,24.194999999999997,6.9,8.48,50.825,37.955,19.025000000000002,17.225,77.52000000000001,5.0649999999999995,84.36,35.19499999999999,68.58499999999998,20.17,29.825000000000006,37.255,34.769999999999996,10.16,18.43,6.6800000000000015,3.4549999999999996,39.205,18.035000000000004,79.64,14.254999999999999,21.22,10.645,76.175,17.215000000000003,7.2,12.810000000000002,46.24999999999999,14.065000000000001,6.839999999999999
558,13111,32.5,3.8600000000000003,31.419999999999998,73.4,21.999999999999996,5.279999999999999,8.9,60.220000000000006,41.86,17.5,17.419999999999998,81.72,4.26,88.56,34.160000000000004,70.44,16.14,25.619999999999997,38.94,33.160000000000004,8.320000000000002,13.14,8.7,3.72,40.4,15.320000000000002,81.14,14.580000000000002,18.199999999999996,9.66,77.82000000000001,13.64,8.48,12.9,47.68,13.780000000000001,7.8
559,13113,29.830000000000002,2.8000000000000003,25.154999999999994,78.585,19.244999999999997,3.745,5.2,67.735,39.535000000000004,11.865,11.58,78.13499999999999,2.9450000000000003,90.15499999999999,24.475,71.56,10.460000000000003,19.585000000000004,41.455,33.87499999999999,5.835,9.89,6.909999999999999,2.92,35.99,13.1,85.4,15.714999999999998,12.979999999999999,9.23,79.02499999999999,10.315,5.404999999999999,10.495000000000001,51.39,10.004999999999999,5.119999999999999
560,13119,38.31999999999999,3.9799999999999995,30.579999999999995,73.34,23.28,6.7,9.48,53.779999999999994,39.879999999999995,20.299999999999997,18.22,79.02000000000001,5.160000000000001,84.82000000000001,35.78000000000001,66.53999999999999,20.520000000000003,29.04,35.88,37.5,10.16,17.080000000000002,7.340000000000001,3.6399999999999997,39.68,17.74,79.78,14.8,21.139999999999997,10.52,75.64,16.82,8.059999999999999,13.4,43.74,14.7,7.6800000000000015
561,13099,42.86,5.160000000000001,32.8,76.97999999999999,21.4,9.48,10.379999999999999,48.36,40.54,22.78,22.8,81.00000000000001,7.24,85.52000000000001,40.86,66.28,25.160000000000004,34.82000000000001,31.979999999999997,39.12,12.84,19.240000000000002,7.140000000000001,4.42,47.7,18.639999999999997,80.91999999999999,12.02,26.7,11.6,79.67999999999999,18.8,7.999999999999998,18.14,36.9,16.72,8.52
562,13105,38.04,4.58,30.740000000000002,75.53999999999999,22.7,8.12,10.08,50.94,39.760000000000005,22.779999999999998,20.68,79.72,6.199999999999999,84.46000000000001,38.92,66.78,23.639999999999997,33.519999999999996,36.2,36.699999999999996,11.720000000000002,19.740000000000002,7.1,4.0200000000000005,43.22,18.44,79.97999999999999,13.440000000000001,24.4,11.059999999999999,77.2,18.2,8.14,15.38,36.44,16.1,8.08
563,13083,34.95,3.35,28.625,72.10000000000001,24.174999999999997,5.475,8.424999999999999,57.325,38.55,19.15,15.8,76.625,4.2,83.82499999999999,33.925000000000004,66.75,18.975,27.35,36.0,34.099999999999994,9.025,15.525000000000002,6.775,3.175,36.474999999999994,18.325000000000003,79.775,16.275000000000002,18.475,10.399999999999999,75.05,16.45,7.300000000000001,11.125,46.15,13.575,6.625
564,13093,41.1,4.566666666666666,29.433333333333337,76.53333333333333,20.233333333333334,8.299999999999999,9.033333333333333,47.23333333333333,38.3,22.433333333333334,20.133333333333336,78.83333333333334,6.233333333333333,84.93333333333334,38.199999999999996,67.0,24.433333333333334,33.3,33.5,40.96666666666667,11.366666666666667,21.033333333333335,6.233333333333334,3.9333333333333336,44.833333333333336,17.633333333333336,80.63333333333334,13.666666666666666,25.03333333333333,11.0,77.5,17.9,6.966666666666666,16.133333333333333,37.63333333333333,15.266666666666667,7.3999999999999995
565,13079,41.666666666666664,4.133333333333334,29.96666666666667,74.5,22.566666666666666,7.3999999999999995,9.200000000000001,50.5,40.266666666666666,22.3,19.03333333333333,78.93333333333334,5.833333333333333,85.23333333333333,36.4,67.50000000000001,21.633333333333336,30.566666666666663,35.93333333333334,38.5,10.700000000000001,17.666666666666668,6.5,3.6666666666666665,42.13333333333333,18.166666666666668,80.33333333333333,14.200000000000001,22.666666666666668,10.966666666666667,77.5,17.3,7.166666666666667,15.266666666666666,39.96666666666667,15.233333333333334,7.266666666666667
566,13091,37.733333333333334,4.1000000000000005,30.0,71.63333333333334,22.349999999999998,7.599999999999999,9.15,49.76666666666667,39.050000000000004,22.849999999999998,18.833333333333332,78.08333333333333,5.816666666666666,83.68333333333334,37.333333333333336,65.03333333333333,23.799999999999997,31.46666666666667,33.050000000000004,37.45,11.033333333333331,18.55,6.5,3.6666666666666665,41.199999999999996,18.583333333333332,80.25,14.6,23.2,10.699999999999998,76.83333333333333,17.7,7.5,14.983333333333334,38.35,15.016666666666667,7.300000000000001
567,13109,41.73333333333333,4.366666666666667,28.966666666666665,75.23333333333333,22.933333333333337,8.933333333333332,9.700000000000001,46.833333333333336,38.1,23.03333333333333,20.133333333333333,77.8,6.566666666666666,82.60000000000001,38.46666666666667,65.06666666666666,26.2,33.699999999999996,34.0,38.7,12.333333333333334,23.03333333333333,6.233333333333333,3.8333333333333335,42.43333333333333,19.2,78.36666666666666,13.6,25.266666666666666,11.233333333333334,76.73333333333333,19.46666666666667,7.6000000000000005,15.266666666666666,39.333333333333336,15.966666666666667,7.533333333333334
568,13101,37.35,3.2,24.65,73.6,23.6,6.8500000000000005,7.9,50.95,34.85,21.05,15.65,73.35,4.75,81.35,35.1,65.4,22.1,30.25,36.5,36.15,10.0,24.75,5.550000000000001,3.0,34.65,18.75,78.55,16.35,21.3,10.35,72.55,18.3,6.75,11.55,42.4,14.05,5.949999999999999
569,13153,38.94347826086956,3.1608695652173906,26.352173913043476,78.81304347826087,22.52173913043478,5.895652173913043,6.71304347826087,60.4695652173913,36.72173913043479,18.165217391304346,14.55217391304348,73.99130434782607,4.3652173913043475,84.5304347826087,32.38695652173913,70.6608695652174,16.22173913043478,27.069565217391304,46.782608695652165,39.382608695652166,8.860869565217392,15.643478260869566,5.78695652173913,3.069565217391304,35.64782608695652,17.739130434782613,81.91304347826086,16.878260869565217,18.4,10.704347826086956,76.28260869565216,15.373913043478264,5.834782608695652,11.578260869565218,48.65652173913045,12.595652173913043,5.460869565217391
